I1,I2,T1,E1,T2,E2
0.01,0.07,22.300000000000015,1.4210854715202004e-14,26.133333333333326,3.552713678800501e-15
0.01,0.08,22.199999999999992,1.0658141036401503e-14,26.266666666666666,3.552713678800501e-15
0.01,0.5099999999999999,36.19999999999999,1.4210854715202004e-14,24.099999999999994,3.552713678800501e-15
0.01,0.5199999999999999,36.67999999999999,0.0,24.050000000000015,1.4210854715202004e-14
0.01,0.16999999999999998,21.733333333333334,3.552713678800501e-15,27.66666666666666,7.105427357601002e-15
0.01,0.18,21.666666666666657,1.0658141036401503e-14,27.866666666666674,3.552713678800501e-15
0.01,0.4099999999999999,32.71999999999998,1.4210854715202004e-14,24.360000000000014,1.0658141036401503e-14
0.01,0.41999999999999993,32.92,7.105427357601002e-15,24.400000000000013,0.0
0.01,0.20999999999999996,21.599999999999994,1.0658141036401503e-14,28.199999999999985,1.4210854715202004e-14
0.01,0.21999999999999997,21.566666666666666,7.105427357601002e-15,28.4,0.0
0.01,0.3499999999999999,31.119999999999994,0.0,24.560000000000006,7.105427357601002e-15
0.01,0.35999999999999993,31.320000000000004,0.0,24.560000000000006,0.0
0.01,0.14999999999999997,21.766666666666666,3.552713678800501e-15,27.40000000000001,3.552713678800501e-15
0.01,0.15999999999999998,21.76666666666667,3.552713678800501e-15,27.5,0.0
0.01,0.36999999999999994,31.597600000000003,0.00949947366963182,24.522400000000008,0.009499473669631818
0.01,0.37999999999999995,31.88,3.552713678800501e-15,24.440000000000005,3.552713678800501e-15
0.01,0.05,22.466666666666665,7.105427357601002e-15,25.866666666666678,3.552713678800501e-15
0.01,0.06,22.333333333333343,1.0658141036401503e-14,26.03333333333334,3.552713678800501e-15
0.01,0.48999999999999994,35.32000000000001,0.0,24.199999999999985,1.0658141036401503e-14
0.01,0.49999999999999994,35.760000000000005,7.105427357601002e-15,24.15000000000001,3.552713678800501e-15
0.01,0.10999999999999999,22.066666666666666,7.105427357601002e-15,26.66666666666666,7.105427357601002e-15
0.01,0.12,21.93333333333334,3.552713678800501e-15,26.9,3.552713678800501e-15
0.01,0.4499999999999999,33.920000000000016,7.105427357601002e-15,24.23999999999998,1.0658141036401503e-14
0.01,0.4599999999999999,34.239999999999995,0.0,24.239999999999995,3.552713678800501e-15
0.01,0.19,21.666666666666657,1.0658141036401503e-14,27.96666666666667,0.0
0.01,0.19999999999999996,21.53333333333333,0.0,28.233333333333334,3.552713678800501e-15
0.01,0.42999999999999994,33.239999999999995,0.0,24.360000000000014,1.0658141036401503e-14
0.01,0.43999999999999995,33.56,0.0,24.320000000000004,3.552713678800501e-15
0.01,0.09,22.16666666666667,0.0,26.4,3.552713678800501e-15
0.01,0.09999999999999999,22.09999999999999,3.552713678800501e-15,26.566666666666666,7.105427357601002e-15
0.01,0.4699999999999999,34.600000000000016,7.105427357601002e-15,24.239999999999995,3.552713678800501e-15
0.01,0.4799999999999999,34.959999999999994,7.105427357601002e-15,24.2,7.105427357601002e-15
0.01,0.13,21.866666666666674,1.0658141036401503e-14,27.066666666666666,7.105427357601002e-15
0.01,0.13999999999999999,21.800000000000015,1.4210854715202004e-14,27.233333333333334,3.552713678800501e-15
0.01,0.38999999999999996,32.079999999999984,1.4210854715202004e-14,24.48,0.0
0.01,0.3999999999999999,32.4,0.0,24.44,3.552713678800501e-15
0.01,0.59,41.600000000000016,7.105427357601002e-15,23.900000000000006,3.552713678800501e-15
0.01,0.26999999999999996,29.4,7.105427357601002e-15,24.76,1.0658141036401503e-14
0.01,0.27999999999999997,29.519999999999996,3.552713678800501e-15,24.800000000000015,1.4210854715202004e-14
0.01,0.29,29.800000000000015,1.4210854715202004e-14,24.679999999999996,3.552713678800501e-15
0.01,0.3,30.0,0.0,24.719999999999995,1.0658141036401503e-14
0.01,0.5299999999999999,37.12,7.105427357601002e-15,24.099999999999994,3.552713678800501e-15
0.01,0.5399999999999999,37.760000000000005,0.0,23.949999999999985,1.0658141036401503e-14
0.01,0.22999999999999998,21.46666666666667,0.0,28.639999999999986,1.0658141036401503e-14
0.01,0.24,21.46666666666667,0.0,28.800000000000015,1.4210854715202004e-14
0.01,0.32999999999999996,30.600000000000005,0.0,24.64,3.552713678800501e-15
0.01,0.33999999999999997,30.84,3.552713678800501e-15,24.600000000000012,0.0
0.01,0.57,39.72,0.0,23.949999999999992,1.0658141036401503e-14
0.01,0.58,40.50000000000001,0.0,23.94999999999998,7.105427357601002e-15
0.01,0.24999999999999994,28.961599999999997,0.007838367176907394,24.8384,0.007838367176906004
0.01,0.25999999999999995,29.24,1.0658141036401503e-14,24.760000000000005,7.105427357601002e-15
0.01,0.30999999999999994,30.199999999999985,1.4210854715202004e-14,24.679999999999996,7.105427357601002e-15
0.01,0.31999999999999995,30.4,0.0,24.68,7.105427357601002e-15
0.01,0.5499999999999999,38.239999999999995,7.105427357601002e-15,24.050000000000015,1.4210854715202004e-14
0.01,0.5599999999999999,39.039999999999985,7.105427357601002e-15,23.90000000000001,3.552713678800501e-15
