I1,I2,T1,E1,T2,E2
0.8,0.8260000000000001,32.0,0.0,36.80000000000002,7.105427357601002e-15
0.8,0.8270000000000001,31.85,3.552713678800501e-15,37.00000000000001,0.0
0.8,0.842,31.500000000000004,3.552713678800501e-15,37.85,7.105427357601002e-15
0.8,0.843,31.500000000000004,3.552713678800501e-15,37.899999999999984,7.105427357601002e-15
0.8,0.8300000000000001,31.800000000000015,1.0658141036401503e-14,37.149999999999984,7.105427357601002e-15
0.8,0.8310000000000001,31.750000000000004,3.552713678800501e-15,37.19999999999998,7.105427357601002e-15
0.8,0.848,31.35,3.552713678800501e-15,38.25,0.0
0.8,0.849,31.399999999999995,0.0,38.25,0.0
0.8,0.8320000000000001,31.75,0.0,37.25000000000001,0.0
0.8,0.8330000000000001,31.699999999999985,1.0658141036401503e-14,37.34350000000002,0.016815171720799278
0.8,0.856,31.1,0.0,38.9,7.105427357601002e-15
0.8,0.857,31.1,0.0,38.94999999999999,1.4210854715202004e-14
0.8,0.8200000000000001,32.05000000000002,7.105427357601002e-15,36.59999999999998,7.105427357601002e-15
0.8,0.8210000000000001,32.09800000000002,0.009797958971132155,36.60199999999998,0.009797958971132156
0.8,0.852,31.25,0.0,38.50000000000001,0.0
0.8,0.853,31.15,3.552713678800501e-15,38.65,0.0
0.8,0.8180000000000001,32.199999999999996,1.4210854715202004e-14,36.399999999999984,7.105427357601002e-15
0.8,0.8190000000000001,32.05000000000002,7.105427357601002e-15,36.59999999999998,7.105427357601002e-15
0.8,0.8360000000000001,31.7,1.0658141036401503e-14,37.44999999999998,7.105427357601002e-15
0.8,0.8370000000000001,31.65,0.0,37.5,0.0
0.8,0.858,31.1,0.0,39.0,0.0
0.8,0.859,31.05000000000002,7.105427357601002e-15,39.09999999999998,7.105427357601002e-15
0.8,0.8220000000000001,32.05000000000001,7.105427357601002e-15,36.649999999999984,7.105427357601002e-15
0.8,0.8230000000000001,32.0,0.0,36.75000000000001,0.0
0.8,0.85,31.250000000000004,3.552713678800501e-15,38.399999999999984,7.105427357601002e-15
0.8,0.851,31.250000000000004,7.105427357601002e-15,38.44999999999999,1.4210854715202004e-14
0.8,0.8240000000000001,31.949999999999985,1.7763568394002505e-14,36.80000000000002,7.105427357601002e-15
0.8,0.8250000000000001,31.949999999999985,1.7763568394002505e-14,36.850000000000016,7.105427357601002e-15
0.8,0.854,31.15000000000002,1.0658141036401503e-14,38.74499999999998,0.014999999999999144
0.8,0.855,31.100000000000012,3.552713678800501e-15,38.85,0.0
0.8,0.8160000000000001,32.199999999999996,1.4210854715202004e-14,36.399999999999984,7.105427357601002e-15
0.8,0.8170000000000001,32.199999999999996,1.4210854715202004e-14,36.399999999999984,7.105427357601002e-15
0.8,0.8380000000000001,31.6,7.105427357601002e-15,37.6,0.0
0.8,0.839,31.6,7.105427357601002e-15,37.65000000000002,7.105427357601002e-15
0.8,0.862,31.0,0.0,39.35,0.0
0.8,0.863,30.949999999999985,1.7763568394002505e-14,39.50000000000001,0.0
0.8,0.81,32.4,7.105427357601002e-15,36.100000000000016,7.105427357601002e-15
0.8,0.811,32.4,7.105427357601002e-15,36.100000000000016,7.105427357601002e-15
0.8,0.846,31.350000000000005,0.0,38.19999999999999,1.4210854715202004e-14
0.8,0.847,31.449999999999985,1.4210854715202004e-14,38.100000000000016,7.105427357601002e-15
0.8,0.868,30.85,0.0,39.94999999999999,1.4210854715202004e-14
0.8,0.869,30.850000000000012,3.552713678800501e-15,40.050000000000004,1.4210854715202004e-14
0.8,0.8140000000000001,32.25,0.0,36.30000000000001,7.105427357601002e-15
0.8,0.8150000000000001,32.25000000000001,0.0,36.30000000000001,1.4210854715202004e-14
0.8,0.8340000000000001,31.75,0.0,37.30000000000001,7.105427357601002e-15
0.8,0.8350000000000001,31.7,1.0658141036401503e-14,37.399999999999984,7.105427357601002e-15
0.8,0.86,30.949999999999985,1.7763568394002505e-14,39.30000000000001,1.4210854715202004e-14
0.8,0.861,31.050000000000015,1.7763568394002505e-14,39.25,0.0
0.8,0.8280000000000001,31.85,3.552713678800501e-15,37.00000000000001,0.0
0.8,0.8290000000000001,31.800000000000015,1.0658141036401503e-14,37.1,7.105427357601002e-15
0.8,0.844,31.449999999999985,1.4210854715202004e-14,38.0,0.0
0.8,0.845,31.449999999999985,1.4210854715202004e-14,38.05000000000002,7.105427357601002e-15
0.8,0.866,30.9,0.0,39.75,0.0
0.8,0.867,30.800000000000015,1.0658141036401503e-14,39.94999999999999,1.4210854715202004e-14
0.8,0.812,32.35,0.0,36.15,7.105427357601002e-15
0.8,0.8130000000000001,32.30000000000001,1.4210854715202004e-14,36.25000000000001,0.0
0.8,0.84,31.5,0.0,37.80000000000001,7.105427357601002e-15
0.8,0.841,31.600000000000012,3.552713678800501e-15,37.69999999999999,7.105427357601002e-15
0.8,0.864,30.949999999999985,1.7763568394002505e-14,39.55000000000001,7.105427357601002e-15
0.8,0.865,30.9,7.105427357601002e-15,39.69999999999999,7.105427357601002e-15
