I1,I2,T1,E1,T2,E2
0.88,0.8220000000000001,34.480000000000004,7.105427357601002e-15,27.7,1.0658141036401503e-14
0.88,0.8230000000000001,34.440000000000005,0.0,27.699999999999985,1.7763568394002505e-14
0.88,0.846,33.36000000000001,1.4210854715202004e-14,28.300000000000022,7.105427357601002e-15
0.88,0.847,33.36000000000001,1.4210854715202004e-14,28.300000000000022,7.105427357601002e-15
0.88,0.8300000000000001,34.079999999999984,1.4210854715202004e-14,27.85,0.0
0.88,0.8310000000000001,34.04000000000001,7.105427357601002e-15,27.85,0.0
0.88,0.844,33.51999999999999,7.105427357601002e-15,28.15,3.552713678800501e-15
0.88,0.845,33.480000000000004,7.105427357601002e-15,28.2,7.105427357601002e-15
0.88,0.81,35.19999999999999,1.4210854715202004e-14,27.449999999999985,1.7763568394002505e-14
0.88,0.811,35.160000000000004,0.0,27.45,1.0658141036401503e-14
0.88,0.85,33.32,7.105427357601002e-15,28.30000000000002,7.105427357601002e-15
0.88,0.851,33.19999999999999,7.105427357601002e-15,28.45,1.0658141036401503e-14
0.88,0.8180000000000001,34.760000000000005,0.0,27.550000000000015,1.0658141036401503e-14
0.88,0.8190000000000001,34.6,0.0,27.7,7.105427357601002e-15
0.88,0.856,33.08,7.105427357601002e-15,28.500000000000004,0.0
0.88,0.857,33.04000000000001,7.105427357601002e-15,28.550000000000015,1.0658141036401503e-14
0.88,0.8200000000000001,34.56,7.105427357601002e-15,27.699999999999985,1.7763568394002505e-14
0.88,0.8210000000000001,34.56399999999999,0.011999999999999744,27.644999999999996,0.014999999999999144
0.88,0.842,33.519999999999996,7.105427357601002e-15,28.199999999999985,1.7763568394002505e-14
0.88,0.843,33.56,0.0,28.15,3.552713678800501e-15
0.88,0.864,32.88,7.105427357601002e-15,28.699999999999996,1.0658141036401503e-14
0.88,0.865,32.879999999999995,7.105427357601002e-15,28.7,1.0658141036401503e-14
0.88,0.8320000000000001,33.960000000000015,7.105427357601002e-15,27.949999999999985,1.0658141036401503e-14
0.88,0.8330000000000001,33.960000000000015,7.105427357601002e-15,27.9,0.0
0.88,0.852,33.15999999999998,1.4210854715202004e-14,28.45,1.0658141036401503e-14
0.88,0.853,33.15999999999998,1.4210854715202004e-14,28.45,1.0658141036401503e-14
0.88,0.8280000000000001,34.12,0.0,27.85,0.0
0.88,0.8290000000000001,34.12,0.0,27.85,0.0
0.88,0.8380000000000001,33.68,7.105427357601002e-15,28.1,3.552713678800501e-15
0.88,0.839,33.639999999999986,1.4210854715202004e-14,28.15,0.0
0.88,0.862,32.88,7.105427357601002e-15,28.699999999999996,1.0658141036401503e-14
0.88,0.863,32.88,7.105427357601002e-15,28.699999999999996,1.0658141036401503e-14
0.88,0.812,35.12,7.105427357601002e-15,27.45,7.105427357601002e-15
0.88,0.8130000000000001,35.04000000000001,7.105427357601002e-15,27.499999999999996,0.0
0.88,0.8360000000000001,33.80000000000001,1.4210854715202004e-14,28.0,0.0
0.88,0.8370000000000001,33.839999999999996,0.0,27.949999999999985,1.7763568394002505e-14
0.88,0.86,32.879999999999995,7.105427357601002e-15,28.699999999999996,1.0658141036401503e-14
0.88,0.861,32.879999999999995,7.105427357601002e-15,28.699999999999996,1.0658141036401503e-14
0.88,0.8140000000000001,34.920000000000016,1.4210854715202004e-14,27.550000000000015,1.0658141036401503e-14
0.88,0.8150000000000001,34.920000000000016,1.4210854715202004e-14,27.5,0.0
0.88,0.854,33.160000000000004,0.0,28.449999999999996,1.0658141036401503e-14
0.88,0.855,33.08,7.105427357601002e-15,28.500000000000004,0.0
0.88,0.8240000000000001,34.440000000000005,0.0,27.699999999999985,1.7763568394002505e-14
0.88,0.8250000000000001,34.360000000000014,1.4210854715202004e-14,27.750000000000004,3.552713678800501e-15
0.88,0.84,33.639999999999986,1.4210854715202004e-14,28.1,0.0
0.88,0.841,33.6,0.0,28.15000000000001,3.552713678800501e-15
0.88,0.866,32.80000000000001,1.4210854715202004e-14,28.800000000000015,1.0658141036401503e-14
0.88,0.867,32.760000000000005,7.105427357601002e-15,28.85,0.0
0.88,0.8160000000000001,34.88,0.0,27.499999999999996,0.0
0.88,0.8170000000000001,34.760000000000005,0.0,27.59999999999999,3.552713678800501e-15
0.88,0.848,33.36000000000001,1.4210854715202004e-14,28.300000000000022,7.105427357601002e-15
0.88,0.849,33.36000000000001,1.4210854715202004e-14,28.250000000000004,1.0658141036401503e-14
0.88,0.868,32.80000000000001,1.4210854715202004e-14,28.800000000000015,1.0658141036401503e-14
0.88,0.869,32.76,7.105427357601002e-15,28.850000000000005,0.0
0.88,0.8260000000000001,34.28,0.0,27.800000000000015,1.0658141036401503e-14
0.88,0.8270000000000001,34.19999999999999,7.105427357601002e-15,27.85,0.0
0.88,0.8340000000000001,33.839999999999996,0.0,28.0,0.0
0.88,0.8350000000000001,33.83999999999999,0.0,28.000000000000004,3.552713678800501e-15
0.88,0.858,33.040000000000006,7.105427357601002e-15,28.550000000000015,7.105427357601002e-15
0.88,0.859,32.95999999999999,7.105427357601002e-15,28.65000000000002,1.0658141036401503e-14
